id,title,release_date,budget,revenue,vote_average,vote_count,popularity,genres,keywords
433502,The Aftermath,2019-03-01,0,9215591,6.452,615,25.691,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[818, 11241, 160224, 164713, 207883]"
157012,Up Against the Wall,2010-10-31,0,0,10.0,1,1.4,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5154, 9898, 205685, 213971]"
246449,Against the Wild,2013-12-29,1493619,0,5.2,54,5.993,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[1964, 11116, 10468, 173258, 214963, 232116, 233447]"
156708,Afternoon Delight,2013-08-30,0,0,5.728,202,17.798,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[187056]
293863,The Age of Adaline,2015-04-16,25000000,65663276,7.474,6230,76.593,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[4978, 582, 9673, 15070]"
412061,Age Out,2018-06-21,0,0,6.4,29,5.198,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1556, 9826, 13017, 155643, 161188, 208400]"
704348,Agents of Secret Stuff,2010-11-24,25000,0,7.4,7,0.885,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4289, 41214]"
343139,Ah Boys to Men 3: Frogmen,2015-02-19,2020000,5520000,8.2,4,3.042,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4224, 180471, 190486]"
284674,Air,2015-08-14,0,0,4.935,409,13.254,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2964, 9685, 156282]"
550115,Airplane Mode,2019-08-02,0,0,2.8,50,9.275,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
47316,Airtight,1999-11-26,0,0,2.9,5,2.247,"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",[]
41409,Airline Disaster,2010-06-29,0,0,5.4,29,4.405,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
329892,Albert,2015-02-26,0,0,5.421,19,4.055,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",[]
73873,Albert Nobbs,2011-12-21,8000000,5634828,6.301,440,16.257,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1307, 4729, 13097]"
224923,Aleksandr's Price,2013-09-23,0,0,4.6,21,4.518,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[156731, 158718]"
347538,Alex & Eve,2015-10-22,0,0,5.909,33,5.88,"[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[5976]
259958,Alex of Venice,2015-04-17,0,0,5.955,67,10.112,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
